date,open,high,low,close,volume
202404120942 ,17719,17719,17714,17719,2569
202404120943 ,17719,17719,17714,17719,1289
202404120944 ,17719,17719,17714,17719,3598
202404120945 ,17719,17719,17714,17719,2005
202404120946 ,17719,17719,17714,17714,1874
202404120947 ,17719,17719,17714,17719,1552
202404120948 ,17719,17724,17714,17724,9805
202404120949 ,17724,17724,17719,17724,2285
202404120950 ,17724,17724,17719,17724,5620
202404120951 ,17724,17724,17719,17724,2992
202404120952 ,17724,17724,17719,17724,2298
202404120953 ,17724,17724,17719,17719,6783
202404120954 ,17719,17719,17714,17719,1391
202404120955 ,17719,17719,17719,17719,20897
202404120956 ,17719,17719,17709,17719,28491
202404120957 ,17719,17719,17709,17719,2864
202404120958 ,17719,17719,17714,17714,2515
202404120959 ,17719,17719,17714,17719,1028
202404121000 ,17719,17719,17714,17714,1175
202404121001 ,17714,17719,17709,17714,5737
202404121002 ,17709,17719,17709,17714,2745
202404121003 ,17714,17719,17714,17719,20964
202404121004 ,17714,17719,17714,17719,2849
202404121005 ,17719,17719,17714,17714,2361
202404121006 ,17719,17719,17714,17719,1768
202404121007 ,17719,17719,17714,17719,553
202404121008 ,17719,17719,17714,17714,26500
202404121009 ,17714,17719,17709,17714,1697
202404121010 ,17714,17719,17709,17714,3489
202404121011 ,17714,17714,17709,17709,2442
202404121012 ,17714,17714,17709,17714,1473
202404121013 ,17714,17719,17709,17719,9641
202404121014 ,17719,17719,17714,17719,581
202404121015 ,17719,17719,17714,17714,11740
202404121016 ,17719,17719,17714,17719,8563
202404121017 ,17719,17719,17714,17719,594
202404121018 ,17714,17719,17714,17714,1371
202404121019 ,17719,17719,17714,17719,755
202404121020 ,17719,17719,17714,17719,1844
202404121021 ,17719,17719,17714,17719,1043
202404121022 ,17719,17719,17714,17719,1231
202404121023 ,17719,17719,17714,17719,772
202404121024 ,17719,17719,17714,17714,3326
202404121025 ,17719,17719,17714,17719,1001
202404121026 ,17719,17719,17714,17719,1879
202404121027 ,17719,17724,17714,17724,15637
202404121028 ,17724,17724,17719,17719,1763
202404121029 ,17724,17724,17719,17724,1251
202404121030 ,17724,17724,17719,17719,975
202404121031 ,17724,17724,17719,17724,7790
202404121032 ,17724,17724,17719,17724,1948
202404121033 ,17724,17724,17719,17724,788
202404121034 ,17724,17724,17719,17724,652
202404121035 ,17724,17729,17719,17729,31514
202404121036 ,17729,17729,17724,17729,659
202404121037 ,17729,17729,17724,17729,1258
